player_id,player_name,position,team,status,height,weight,college,years_exp
12569,Kelvin Banks,OL,NO,Active,77,315,Texas,1.0
4351,Tim Patrick,WR,JAX,Active,77,210,Utah,9.0
12556,Donovan Ezeiruaku,DL,DAL,Active,74,248,Boston College,1.0
7726,Derrick Barnes,LB,DET,Active,72,240,Purdue,5.0
12707,Luke Newman,OG,CHI,Active,75,308,Michigan State,1.0
12741,Garrett Dellinger,OG,TEN,Active,77,315,LSU,1.0
12909,Eli Pancol,WR,IND,Active,75,205,Duke,1.0
12675,Jason Marshall,CB,MIA,Active,72,204,Florida,1.0
9220,Evan Hull,RB,NO,Active,70,209,Northwestern,3.0
11818,Michael Jurgens,OL,MIN,Active,77,311,Wake Forest,2.0
11596,Ben Sinnott,TE,WAS,Active,76,245,Kansas State,2.0
8360,Logan Hall,DL,TB,Active,78,283,Houston,4.0
1706,Jack Doyle,TE,IND,Active,78,262,Western Kentucky,9.0
3198,Derrick Henry,RB,BAL,Active,74,252,Alabama,10.0
4926,Nick Schuessler,QB,PIT,Active,"6'3""",200,Clemson,1.0
5011,Michael Dickson,P,SEA,Active,74,208,Texas,8.0
11728,Jaden Hicks,DB,KC,Active,73,215,Washington State,2.0
12522,Cam Ward,QB,TEN,Active,74,219,Miami (FL),1.0
7687,Nahshon Wright,CB,CHI,Active,76,199,Oregon State,5.0
5057,Tyquan Lewis,DE,IND,Active,75,267,Ohio State,8.0
6882,Darnay Holmes,CB,LV,Active,70,198,UCLA,6.0
6694,D'Ernest Johnson,RB,NE,Active,71,205,South Florida,7.0
12496,Tai Felton,WR,MIN,Active,73,186,Maryland,1.0
11468,Kilian Zierer,T,JAX,Active,79,312,Auburn,3.0
12930,Tyler Cooper,G,WAS,Active,78,310,Minnesota,1.0
6893,Robert Windsor,DT,IND,Active,77,290,Penn State,2.0
12567,Malaki Starks,DB,BAL,Active,73,203,Georgia,1.0
8449,Tyler Smith,OL,DAL,Active,78,332,Tulsa,4.0
10927,Jordan Battle,DB,CIN,Active,73,215,Alabama,3.0
8472,Darian Kinnard,T,GB,Active,77,322,Kentucky,4.0
12656,Robbie Ouzts,RB,SEA,Active,75,274,Alabama,1.0
6847,Devin Duvernay,WR,CHI,Active,71,202,Texas,6.0
9493,Puka Nacua,WR,LAR,Active,74,216,BYU,3.0
13016,Treven Ma'ae,DL,LV,Active,75,291,Baylor,1.0
10226,Andrei Iosivas,WR,CIN,Active,75,210,Princeton,3.0
13116,Tre Watson,TE,KC,Active,77,250,Texas A&M,1.0
7654,Aaron Banks,OL,GB,Active,77,325,Notre Dame,5.0
8367,D'Marco Jackson,LB,CHI,Active,73,233,Appalachian State,4.0
12575,Seth McLaughlin,OL,DET,Active,76,305,Ohio State,1.0
11846,Jowon Briggs,DE,NYJ,Active,73,313,Cincinnati,2.0
4503,Arthur Maulet,CB,DET,Active,69,190,Memphis,9.0
1088,Kelvin Beachum,OL,ARI,Active,75,308,SMU,14.0
12765,Keleki Latu,TE,BUF,Active,79,244,Washington,1.0
12440,Jaylon Hutchings,DT,MIN,Active,72,305,Texas Tech,2.0
11617,Malachi Corley,WR,CLE,Active,71,215,Western Kentucky,2.0
11338,Cory Durden,DT,NE,Active,76,305,North Carolina State,3.0
12923,Jordan Clark,DB,NYJ,Active,69,184,Notre Dame,1.0
3265,Sheldon Day,DT,WAS,Active,73,294,Notre Dame,10.0
11682,Cole Bishop,DB,BUF,Active,74,207,Utah,2.0
7796,Brandin Echols,CB,PIT,Active,70,179,Kentucky,5.0
4102,Dion Dawkins,OT,BUF,Active,77,320,Temple,9.0
