player_id,season,week,passing_yards,passing_tds,passing_ints,rushing_yards,rushing_tds,receiving_yards,receiving_tds,receptions,fumbles,fantasy_points,games_played,targets,carries,player_name
8347,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,4.0,0.0,0.0,Eyioma Uwazurike
6119,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,Devin White
6306,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Patrick Mekari
6782,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.5,17.0,0.0,0.0,Chase Young
7816,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,16.0,0.0,0.0,Jason Pinnock
8474,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.0,0.0,0.0,Luke Wattenberg
5844,2024,,0.0,0.0,0.0,0.0,0.0,455.0,0.0,41.0,0,45.5,10.0,62.0,0.0,T.J. Hockenson
2135,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Ha Ha Clinton-Dix
12961,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Ryan Fitzgerald
10955,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,120.0,13.0,0.0,0.0,Chad Ryland
12529,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,TreVeyon Henderson
7188,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Tyler Hall
13174,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Cooper McDonald
6977,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,17.0,0.0,0.0,Justin Strnad
7933,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Alex Kessman
7295,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Ross Matiscik
11740,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,Brandon Dorlus
10977,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,Jordan McFadden
3576,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Reid Ferguson
6792,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.5,17.0,0.0,0.0,Javon Kinlaw
7957,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,16.0,0.0,0.0,Jon Rhattigan
12535,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Isaac TeSlaa
6790,2024,,0.0,0.0,0.0,959.0,6.0,386.0,0.0,42.0,0,172.5,17.0,52.0,253.0,D'Andre Swift
11731,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,16.0,0.0,0.0,Malik Mustapha
1373,2024,,4320.0,21.0,15.0,272.0,2.0,0.0,0.0,0.0,0,281.0,17.0,0.0,53.0,Geno Smith
12491,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Corey Kiner
8297,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,13.0,0.0,0.0,Jeremiah Moon
7804,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,Marlon Tuipulotu
8709,2024,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0,0.5,17.0,1.0,0.0,Mike Caliendo
6768,2024,,2867.0,19.0,7.0,49.0,0.0,0.0,0.0,0.0,0,188.58,11.0,0.0,17.0,Tua Tagovailoa
6130,2024,,0.0,0.0,0.0,437.0,4.0,119.0,0.0,21.0,0,75.6,15.0,24.0,113.0,Devin Singletary
5004,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Ito Smith
11795,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,5.0,0.0,0.0,Jaden Crumedy
7642,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,15.0,0.0,0.0,Jaycee Horn
12356,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Jabari Small
12955,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Sebastian Castro
6904,2024,,2903.0,18.0,5.0,630.0,14.0,0.0,0.0,0.0,0,320.12,15.0,0.0,150.0,Jalen Hurts
5053,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Alex Cappa
